"","","","","","","","","","","","","","","","GOOGLE — Landing Page","","","","","","","","","","",""
"","","Obs.","","","","","","","","","","","","","Invest.
(R$)","","","","","","","","","","",""
"","09/05/2026","","R$ 114,96","20","R$ 5,75","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 26,94","18","R$ 1,50","","","R$ 0,00","R$ 114,96","20","R$ 5,75","","","","","",""
"","10/05/2026","","R$ 96,31","12","R$ 8,03","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 36,16","12","R$ 3,01","","","R$ 0,00","R$ 96,31","12","R$ 8,03","","","","","",""
"","11/05/2026","","R$ 126,54","11","R$ 11,50","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 36,34","10","R$ 3,63","","","R$ 0,00","R$ 126,54","11","R$ 11,50","","","","","",""
"","12/05/2026","","R$ 152,60","16","R$ 9,54","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 20,74","15","R$ 1,38","","","R$ 0,00","R$ 152,60","16","R$ 9,54","","","","","",""
"","13/05/2026","","R$ 137,51","17","R$ 8,09","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 22,57","13","R$ 1,74","","","R$ 0,00","R$ 137,51","17","R$ 8,09","","","","","",""
"","14/05/2026","","R$ 132,05","17","R$ 7,77","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 24,51","14","R$ 1,75","","","R$ 0,00","R$ 132,05","17","R$ 7,77","","","","","",""
"","15/05/2026","","R$ 124,10","17","R$ 7,30","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 28,20","33","R$ 0,85","","","R$ 0,00","R$ 124,10","17","R$ 7,30","","","","","",""
"","16/05/2026","","R$ 105,30","14","R$ 7,52","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 29,06","26","R$ 1,12","","","R$ 0,00","R$ 105,30","14","R$ 7,52","","","","","",""
"","17/05/2026","","R$ 115,76","8","R$ 14,47","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 26,79","23","R$ 1,16","","","R$ 0,00","R$ 115,76","8","R$ 14,47","","","","","",""
"","18/05/2026","","R$ 136,20","9","R$ 15,13","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 24,66","19","R$ 1,30","","","R$ 0,00","R$ 136,20","9","R$ 15,13","","","","","",""
"","19/05/2026","","R$ 142,63","13","R$ 10,97","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 29,17","35","R$ 0,83","","","R$ 0,00","R$ 142,63","13","R$ 10,97","","","","","",""
"","20/05/2026","","R$ 152,87","15","R$ 10,19","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 58,14","29","R$ 2,00","","","R$ 0,00","R$ 152,87","15","R$ 10,19","","","","","",""
"","21/05/2026","","R$ 143,50","13","R$ 11,04","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 46,37","21","R$ 2,21","","","R$ 0,00","R$ 143,50","13","R$ 11,04","","","","","",""
"","22/05/2026","","R$ 140,14","18","R$ 7,79","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 46,07","20","R$ 2,30","","","R$ 0,00","R$ 140,14","18","R$ 7,79","","","","","",""
"","23/05/2026","","R$ 126,16","14","R$ 9,01","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 37,39","8","R$ 4,67","","","R$ 0,00","R$ 126,16","14","R$ 9,01","","","","","",""
"","24/05/2026","","R$ 115,18","14","R$ 8,23","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 49,99","15","R$ 3,33","","","R$ 0,00","R$ 115,18","14","R$ 8,23","","","","","",""
"","25/05/2026","","R$ 154,51","10","R$ 15,45","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 26,35","8","R$ 3,29","","","R$ 0,00","R$ 154,51","10","R$ 15,45","","","","","",""
"","26/05/2026","","R$ 168,52","16","R$ 10,53","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 13,03","13","R$ 1,00","","","R$ 0,00","R$ 168,52","16","R$ 10,53","","","","","",""
"","27/05/2026","","R$ 149,73","22","R$ 6,81","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 23,67","8","R$ 2,96","","","R$ 0,00","R$ 149,73","22","R$ 6,81","","","","","",""
"","28/05/2026","","R$ 146,89","22","R$ 6,68","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 29,04","13","R$ 2,23","","","R$ 0,00","R$ 146,89","22","R$ 6,68","","","","","",""
"","29/05/2026","","R$ 141,33","24","R$ 5,89","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 33,00","14","R$ 2,36","","","R$ 0,00","R$ 141,33","24","R$ 5,89","","","","","",""
"","30/05/2026","","R$ 41,00","4","R$ 10,25","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 7,00","6","R$ 1,17","","","R$ 0,00","R$ 41,00","4","R$ 10,25","","","","","",""
"","31/05/2026","","R$ 50,96","7","R$ 7,28","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 16,14","5","R$ 3,23","","","R$ 0,00","R$ 50,96","7","R$ 7,28","","","","","",""
"","","","R$ 3.965,11","444","R$ 8,93","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 924,58","501","R$ 1,85","R$ 0,00","0","R$ 0,00","R$ 3.965,11","444","R$ 8,93","","","","","",""
