"","Campaign Name","Ad Set Name","Ad Name","","","","",""
"2026-06-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","428","34","18,27","407","42,69"
"2026-06-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","521","39","19,09","490","36,64"
"2026-06-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","6","1","0,24","6","40"
"2026-06-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","570","35","18,95","560","33,25"
"2026-06-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","573","37","18,15","559","31,68"
"2026-06-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","2","","0,06","2","30"
"2026-06-18","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","515","32","18,36","511","35,65"
"2026-06-18","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","495","35","15,78","480","31,88"
"2026-06-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","423","21","15,6","406","36,88"
"2026-06-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","477","27","16,12","465","33,79"
